Report Number,Date,Time,Collision Day of Week,Primary Road,Secondary Road,X,Y,Latitude,Longitude,Highest Degree of Injury,Number Injured,Number Killed,Party at Fault,Primary Collision Factor,Hit and Run,Collision Type,Involved With,Pedestrian Action,Violation,Violation Subsection,Weather,Road Condition1,Lighting,Right of Way Controls,Party Type 1,Party Age 1,Party Sex 1,Movement Preceding Collision 1,special information 1,Associated Cause - Factor 1 1,Party Sobriety 1 1,Party Type 2,Party Age 2,Party Sex 2,Movement Preceding Collision 2,special information 2,Associated Cause - Factor 1 2,Party Sobriety 1 2,Safety Equipment 2
201100000107,1/1/2011,18:50,Saturday,PETERS AV,ROSE AV,6163114.834,2066237.297,37.66143677,-121.8769224,Property Damage Only,0,0,,Unsafe Speed,No,Hit Object,Fixed Object,No Pedestrian Involved,22350,,Cloudy,No Unusual Condition,Dark - Street Lights,Obscured,Driver,44,Not Stated,Proceeding Straight,Not Stated,Not Stated,HNBD,,,,,,,,
2013-00000039,1/1/2013,08:34,Tuesday,PIMLICO DR,BELMONT WY,6166045.04,2080599.906,37.70101809,-121.8674969,Property Damage Only,0,0,1,Improper Turning,No,Hit Object,Fixed Object,No Pedestrian Involved,22107,,Clear,No Unusual Condition,Daylight,Functioning,Driver,,Male,Making Right Turn,Cell Phone Not In Use,None Apparent,Impairment Not Known,,,,,,,,
201400000078,1/1/2014,18:02,Wednesday,HOPYARD RD,OFF RAMP EB I580 TO HOPYARD RD,6154948.676,2080549.767,37.70042686,-121.9058135,Complaint of Pain,3,0,1,Unsafe Speed,No,Rear-End,Other Motor Vehicle,No Pedestrian Involved,22350,,Clear,No Unusual Condition,Dark - Street Lights,Functioning,Driver,70,Female,Proceeding Straight,Cell Phone Not In Use,None Apparent,HNBD,Driver,70,Female,Stopped In Road,Cell Phone Not In Use,None Apparent,HNBD,Lap/Shoulder Harness Used
201700000025,1/1/2017,03:27,Sunday,FERNWOOD CT,MUIRWOOD DR,6151621.717,2069530.81,37.67000589,-121.9167725,Property Damage Only,0,0,1,Improper Turning,No,Sideswipe,Parked Motor Vehicle,No Pedestrian Involved,22107,,Clear,No Unusual Condition,Dark - Street Lights,No Controls Present / Factor,Driver,55,Female,Making Right Turn,Cell Phone Not In Use,None Apparent,HNBD,Parked Vehicle,,,Parked,Cell Phone Not In Use,None Apparent,Not Applicable,
201700000090,1/1/2017,21:15,Sunday,LAS POSITAS BL,MUIRWOOD DR,6152083.25,2072249.469,37.67748112,-121.9152862,Severe Injury,2,0,1,Unsafe Speed,No,Head-On,Other Motor Vehicle,No Pedestrian Involved,22350,,Clear,No Unusual Condition,Dark - Street Lights,No Controls Present / Factor,Driver,18,Female,Proceeding Straight,Cell Phone Not In Use,None Apparent,HNBD,Driver,73,Male,Proceeding Straight,Cell Phone Not In Use,,HNBD,Lap/Shoulder Harness Used
201100001479,1/10/2011,11:47,Monday,SANTA RITA RD,VALLEY AV,6164052.164,2071822.231,37.67680618,-121.8739148,Property Damage Only,1,0,,Unsafe Starting or Backing,No,Rear-End,Other Motor Vehicle,No Pedestrian Involved,22106,,Cloudy,No Unusual Condition,Daylight,Functioning,Driver,29,Not Stated,Proceeding Straight,Not Stated,Not Stated,HNBD,Driver,65,Not Stated,Stopped in Road,Not Stated,Not Stated,HNBD,Lap/Shoulder Harness Used
201200001132,1/10/2012,05:18,Tuesday,STONERIDGE MALL RD,WORKDAY WY,6149519.971,2078309.271,37.69395672,-121.9244881,Property Damage Only,0,0,1,Unknown Violation,No,Hit Object,Fixed Object,No Pedestrian Involved,22210,,Clear,No Unusual Condition,Dark - Street Lights,Functioning,Driver,26,Female,Making Right Turn,Cell Phone Not In Use,Violation,HNBD,,,,,,,,
201200001142,1/10/2012,07:28,Tuesday,JUNIPERO ST,SONOMA DR,6162990.925,2062230.06,37.65040849,-121.8771734,Complaint of Pain,1,0,1,Improper Turning,No,Hit Object,Fixed Object,No Pedestrian Involved,22107,,Clear,No Unusual Condition,Daylight,None,Driver,17,Female,Proceeding Straight,Cell Phone Not In Use,Inattention,HNBD,,,,,,,,
2013-00001139,1/10/2013,10:45,Thursday,SYLVANER CT,MADEIRA DR,6170914.999,2065525.789,37.65977551,-121.8499145,Property Damage Only,0,0,1,Unsafe Starting or Backing,No,Broadside,Other Motor Vehicle,No Pedestrian Involved,22106,,Clear,No Unusual Condition,Daylight,None,Driver,48,Male,Backing,Cell Phone Not In Use,None Apparent,HNBD,Driver,48,Male,Stopped in Road,Cell Phone Not In Use,None Apparent,HNBD,Lap/Shoulder Harness Used
2013-00001190,1/10/2013,16:27,Thursday,HOPYARD RD,GIBRALTAR DR,6155591.3,2078891.011,37.69587161,-121.9035924,Property Damage Only,0,0,2,Unsafe Lane Change,No,Hit Object,Fixed Object,No Pedestrian Involved,21658,,Clear,No Unusual Condition,Daylight,Functioning,Driver,26,Female,Proceeding Straight,Cell Phone Not In Use,Uninvolved Vehicle,HNBD,Driver,73,Male,Changing Lanes,Cell Phone Not In Use,Unfamiliar With Road,HNBD,Lap/Shoulder Harness Used
201400001412,1/10/2014,19:58,Friday,STONERIDGE DR,HOPYARD RD,6155541,2077290,37.69147495,-121.9037662,Property Damage Only,0,0,1,Auto R/W Violation,No,Broadside,Other Motor Vehicle,No Pedestrian Involved,21806,A,Clear,No Unusual Condition,Dark - Street Lights,Functioning,Driver,48,Male,Proceeding Straight,Cell Phone Not In Use,None Apparent,HNBD,Driver,24,Female,Proceeding Straight,Cell Phone Not In Use,Other,HNBD,Lap/Shoulder Harness Used
201500001338,1/10/2015,21:15,Saturday,HANSEN DR,CALLE MORELIA,6155943.608,2069010.007,37.66868807,-121.9017986,Other Visible Injury,1,0,1,Improper Turning,No,Hit Object,Parked Motor Vehicle,No Pedestrian Involved,22107,,Clear,No Unusual Condition,Dark - Street Lights,No Controls Present / Factor,Driver,17,Female,Proceeding Straight,Cell Phone Not In Use,Inattention,HNBD,Parked Vehicle,,,Parked,Cell Phone Not In Use,None Apparent,Not Applicable,
201600001058,1/10/2016,18:00,Sunday,VALLEY AV,BLACKBIRD DR,6158417,2071864,37.67661889,-121.8933862,Complaint of Pain,1,0,1,Improper Turning,No,Hit Object,Fixed Object,No Pedestrian Involved,22107,,Clear,No Unusual Condition,Dark - Street Lights,No Controls Present / Factor,Driver,41,Female,Making Right Turn,Cell Phone Not In Use,Other,Sleepy - Fatigued,,,,,,,,
